,vid_name,channel_name,publishedAt ,views,likes,commentCount,vidID,Playlist_id,Playlist_name,Subscribers
269,J Balvin - Ma' G,jbalvinVEVO,2021-02-28T03:00:08Z,23441425,416592,15186,moFLjsO9TGA,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
270,"¿QUÉ MÁS PUES? - J BALVIN, MARIA BECERRA (OFFICIAL TRAILER)",J Balvin,2021-05-22T17:00:04Z,1726560,88074,4430,3zQmwJn-wJM,PLWgVwtnp9KugkkGeBPwo8I8c2wdRayTtz,VIDEOS,34000000
271,"J. Balvin, Jay Wheeler - Otro Fili (Official Video)",jbalvinVEVO,2021-06-11T00:00:09Z,36822579,450414,9422,Kjys7M4PB4s,PLWgVwtnp9KugkkGeBPwo8I8c2wdRayTtz,VIDEOS,34000000
272,J Balvin - 7 De Mayo,jbalvinVEVO,2021-05-07T04:00:07Z,10011113,275894,10796,QKMg_HCa1tY,PLWgVwtnp9KugkkGeBPwo8I8c2wdRayTtz,VIDEOS,34000000
273,"J. Balvin, Zion & Lennox - Si Te Atreves (Official Video)",jbalvinVEVO,2021-09-10T16:00:27Z,12772326,204897,3337,luOTxfMlacE,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
274,"J. Balvin, Zion & Lennox - Si Te Atreves (Official Video)",jbalvinVEVO,2021-09-10T16:00:27Z,12772326,204897,3337,luOTxfMlacE,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
275,J Balvin - Que Pretendes (LIVE) - Lollapalooza Chicago 2019,theotherlinda,2019-08-07T07:13:15Z,133798,1236,24,H-RN88XH-2U,PLWgVwtnp9KuhFHuTZQ8AnVIVVeh09kknQ,Live Performances,34000000
276,"J Balvin & Nicky Jam: ""Mi Gente""/""X"" Medley",The Tonight Show Starring Jimmy Fallon,2018-08-02T04:34:32Z,7920637,145826,5634,lh3IEf-3HEs,PLWgVwtnp9KuhFHuTZQ8AnVIVVeh09kknQ,Live Performances,34000000
277,"J Balvin & Nicky Jam: ""Mi Gente""/""X"" Medley",The Tonight Show Starring Jimmy Fallon,2018-08-02T04:34:32Z,7920637,145826,5634,lh3IEf-3HEs,PLWgVwtnp9KuhFHuTZQ8AnVIVVeh09kknQ,Live Performances,34000000
278,"J Balvin & Nicky Jam: ""Mi Gente""/""X"" Medley",The Tonight Show Starring Jimmy Fallon,2018-08-02T04:34:32Z,7920637,145826,5634,lh3IEf-3HEs,PLWgVwtnp9KuhFHuTZQ8AnVIVVeh09kknQ,Live Performances,34000000
279,"J Balvin Makes History with SNL, Lollapalooza and Beyoncé's Beychella",The Tonight Show Starring Jimmy Fallon,2019-05-21T04:09:25Z,2933645,60497,2536,Y6Mzfrg1P7w,PLWgVwtnp9KuhFHuTZQ8AnVIVVeh09kknQ,Live Performances,34000000
280,J Balvin - Mi Gente (Live At GMA),Central J Balvin,2018-05-21T20:01:08Z,263942,3940,85,TxbQdhD8SYA,PLWgVwtnp9KuhFHuTZQ8AnVIVVeh09kknQ,Live Performances,34000000
281,J Balvin - Ahora (Live At GMA),Central J Balvin,2018-05-21T20:01:08Z,85824,998,52,bMNWZlixb38,PLWgVwtnp9KuhFHuTZQ8AnVIVVeh09kknQ,Live Performances,34000000
282,J Balvin - Ambiente (Live At GMA),Central J Balvin,2018-05-21T20:01:08Z,238583,2428,191,N6rOCOUU3vM,PLWgVwtnp9KuhFHuTZQ8AnVIVVeh09kknQ,Live Performances,34000000
283,Familiar - Liam Payne ft J Balvin - LIVE on Summer Concert Series GMA 15/05/2018,SamBakerTX,2018-05-15T12:53:19Z,17975,323,12,BYBTK9hmWD8,PLWgVwtnp9KuhFHuTZQ8AnVIVVeh09kknQ,Live Performances,34000000
284,"J. Balvin, Zion & Lennox - Si Te Atreves (Official Video)",jbalvinVEVO,2021-09-10T16:00:27Z,12772326,204897,3337,luOTxfMlacE,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
285,"J.Balvin, Karol G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander - Poblado",jbalvinVEVO,2021-06-18T00:00:09Z,436523917,2074823,46392,s8hA0QRIwfo,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
286,"J Balvin, Maria Becerra - Qué Más Pues? (Official Video)",jbalvinVEVO,2021-05-28T00:00:26Z,631719219,3130610,62875,zisuhZqTeH4,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
287,J Balvin - Ma' G,jbalvinVEVO,2021-02-28T03:00:08Z,23441425,416592,15186,moFLjsO9TGA,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
288,"La Luz - Sech, J Balvin (Video Oficial)",Sech,2020-11-01T02:15:10Z,59888253,795030,21421,SR3DVWRwslU,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
289,J Balvin - Negro (Animated Video),jbalvinVEVO,2020-06-29T17:00:03Z,29002215,369593,9498,IcBmnstOR64,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
290,J Balvin - Azul (Official Animated Video),jbalvinVEVO,2020-06-10T23:00:12Z,211515951,1674219,38099,bcaLBKH-Yfc,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
291,J Balvin - Rosa,jbalvinVEVO,2020-05-01T16:00:10Z,46978896,678412,18324,poEvIHHMW7c,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
292,"J Balvin, Sky - Verde",jbalvinVEVO,2020-04-18T16:00:04Z,90282945,937154,20908,DAlvSNHny2s,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
293,J Balvin - Gris (Official Video),jbalvinVEVO,2020-04-08T16:00:11Z,52229928,594244,14108,lYNxsv-XmZc,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
294,J Balvin - Amarillo (Official Video),jbalvinVEVO,2020-03-19T23:00:11Z,174173546,2056411,54472,KHAgoT4FZbc,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
295,J Balvin - Rojo (Official Video),jbalvinVEVO,2020-02-28T00:00:11Z,353851591,3444753,84822,_tG70FWd1Ds,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
296,J Balvin - Morado (Official Video),jbalvinVEVO,2020-01-10T00:00:10Z,234244588,1976740,47643,d5ZVaWxkAaQ,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
297,J Balvin - Blanco,jbalvinVEVO,2019-11-15T05:00:00Z,271484284,1745720,42084,8j1xiiAZhIQ,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
298,J BALVIN x BAD BUNNY - LA CANCIÓN | OASIS (Video Oficial),Bad Bunny,2019-10-14T19:13:38Z,666946372,2859753,53686,LxOTsiV4tkQ,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
299,HUMAN LOST feat. J. Balvin / m-flo (Spanish Version),J Balvin,2019-10-11T04:00:08Z,862427,40206,2353,sGY-AKWdYGI,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
300,"Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life) (Official Music Video)",BlackEyedPeasVEVO,2019-10-11T04:00:04Z,1042426123,6497741,130708,EzKkl64rRbM,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
301,"Reik, J Balvin, Lalo Ebratt - Indeciso",reikVEVO,2019-08-23T04:00:11Z,176741277,835560,10313,y-BFrPQPGjM,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
302,"J Balvin, Bad Bunny - CUIDAO POR AHÍ (Official Video)",jbalvinVEVO,2019-08-23T04:00:08Z,55195471,509128,54166,zvAUZQxb0ME,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
303,J BALVIN x BAD BUNNY - YO LE LLEGO | OASIS (Video Oficial),Bad Bunny,2019-08-09T04:00:22Z,69398614,770520,20113,X-og30D3lxs,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
304,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)",Anuel AA,2019-07-19T14:03:10Z,2037826786,8558721,307549,0VR3dfZf9Yg,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
305,"J Balvin, Bad Bunny - QUE PRETENDES (Official Video)",jbalvinVEVO,2019-06-28T03:58:45Z,378238903,2367524,39328,kPc3Pe42bGI,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
306,"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",JhayCortezVEVO,2019-05-17T04:00:03Z,2069994207,6110137,108665,w2C6RhQBYlg,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
307,J Balvin - La Rebelión (Official Video),jbalvinVEVO,2019-04-01T04:00:10Z,13276872,286567,9171,vfN_HealI84,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
308,J Balvin - Reggaeton (Official Video),jbalvinVEVO,2018-11-17T04:58:16Z,255779104,1932538,42975,6DHDIDgn2oA,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
309,J Balvin - No Es Justo ft. Zion & Lennox (Live From Jimmy Kimmel!),jbalvinVEVO,2018-10-25T02:43:41Z,1950834,31476,1580,mX-WOTbf8EY,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
310,"J Balvin, Zion & Lennox - No Es Justo (Official Video)",jbalvinVEVO,2018-06-29T04:00:00Z,760505674,2192092,43088,2zn4dAuZ2RU,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
311,"Jhayco, J Balvin - Están Pa´ Mí",JhayCortezVEVO,2018-05-04T04:00:06Z,29721810,137135,2944,oBAlEGWDLXQ,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
