,vid_name,channel_name,publishedAt ,views,likes,commentCount,vidID,Playlist_id,Playlist_name
548,Selena Gomez - Let Me Get Me (Official Lyrics),SelenaGomezVEVO,2020-01-10T05:00:04Z,9123017,192741,4644,d7uULYL3h84,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
549,Selena Gomez - Lose You To Love Me (Official Lyrics),SelenaGomezVEVO,2020-01-10T05:00:12Z,3716519,97209,1383,xIj0md1floA,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
550,Selena Gomez - Look At Her Now (Official Lyrics),SelenaGomezVEVO,2020-01-10T05:00:07Z,2134969,67411,1084,gciyyXS0u-8,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
551,Selena Gomez - Dance Again (Official Lyrics),SelenaGomezVEVO,2020-01-10T05:00:02Z,7023032,183786,4026,9vBFuIeC5qI,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
552,Selena Gomez - Feel Me (Lyric Video),SelenaGomezVEVO,2020-02-21T05:00:01Z,36769184,617640,20235,4Th0EwFmkLA,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
553,Selena Gomez - She (Lyric Video),SelenaGomezVEVO,2020-04-09T12:00:04Z,8719303,274364,7676,8Sc3onaS0xk,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
554,Selena Gomez - Boyfriend (Doll Version),Selena Gomez,2020-04-29T16:04:08Z,2600291,170364,10010,pG6FrKhatU8,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
555,Selena Gomez - Boyfriend (Behind The Scenes),SelenaGomezVEVO,2020-04-21T16:00:09Z,2721359,116891,4052,NGvWouivgO4,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
556,"Selena Gomez, Alexander 23 - Rare (Alexander 23 Edit/Audio)",SelenaGomezVEVO,2020-02-28T05:00:16Z,940498,62655,2679,vt-rWATfPjQ,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
557,Selena Gomez - Boyfriend (VEVO Footnotes),SelenaGomezVEVO,2020-05-08T19:00:04Z,1455115,62410,2156,JTDF1Zan7ho,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
558,Selena Gomez - Lose You To Love Me (Alternative Video),SelenaGomezVEVO,2020-01-13T17:00:14Z,27308161,685230,17166,hhKn0WUby_M,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
559,Selena Gomez - Rare (Pop Up Video),SelenaGomezVEVO,2020-02-06T17:00:12Z,8129203,232852,4986,cezVY-W1K-I,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
560,Selena Gomez - Rare (Behind The Scenes),SelenaGomezVEVO,2020-01-20T17:00:13Z,1475257,99635,2697,ypeBXnuYNGU,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
561,Selena Gomez - Lose You To Love Me (Pop Up Video),SelenaGomezVEVO,2020-01-15T17:00:07Z,39127707,416858,0,b8kRrZ6PTU8,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
