,Vid-Title,Playlist-Name,channel-Title,Views,Published-date,Likes,Comment-count,Vid-ID
322,J Balvin - En Lo Oscuro (Official Video),J Balvin,jbalvinVEVO,15880861,2012-02-22T21:32:51Z,59201,2565,msETP5UUqYs
323,J Balvin - Tranquila (Official Video),J Balvin,jbalvinVEVO,498917422,2012-12-18T16:53:34Z,2136667,92307,HWyEEj2pSt0
324,Video J Balvin Es el Artista del año 2012 - Premios Shock,J Balvin,J Balvin,120824,2012-11-08T17:02:56Z,1194,74,4Ad3ykQQLAU
325,J Balvin - Tranquila | Official lyrics | Reggaeton Music | @jbalvin,J Balvin,J Balvin,11546137,2012-10-15T19:49:35Z,25045,2260,u_tjvY8wY6U
326,J Balvin - Me Gustas Tú | Official Video | @jbalvin,J Balvin,J Balvin,35374268,2011-02-18T19:51:23Z,114333,6383,K9BkJSzX9qQ
327,J Balvin - Como Un Animal (Official Video),J Balvin,jbalvinVEVO,12322029,2012-04-24T00:00:08Z,53505,1873,BWMQ9pc4elE
328,The Weeknd - Jealous Guy (Music from the HBO Original Series The Idol),The Weeknd,The Weeknd,213597,2023-06-23T19:39:22Z,11042,485,tLyR03numQ8
329,"The Weeknd, Madonna, Playboi Carti - Popular (Visualizer)",The Weeknd,The Weeknd,6245286,2023-06-02T04:00:34Z,214074,7961,xnvkStb2jT0
330,"The Weeknd, JENNIE & Lily Rose Depp - One Of The Girls (Official Audio)",The Weeknd,The Weeknd,2639555,2023-06-23T04:00:31Z,193722,17797,f1r0XZLNlGQ
331,The Weeknd - Jealous Guy (Official Audio),The Weeknd,The Weeknd,284015,2023-06-23T04:00:26Z,15532,833,VN0pIgNZ61c
332,"The Weeknd, Lily Rose Depp & Ramsey - Fill the Void (Official Audio)",The Weeknd,The Weeknd,328531,2023-06-23T04:00:02Z,18441,700,2QMyW1LZBBM
333,The Weeknd - A Lesser Man (Official Audio),The Weeknd,The Weeknd,647711,2023-06-19T04:01:06Z,28981,1216,bBqrgxAr_sk
334,Moses Sumney - Get It B4,The Weeknd,The Weeknd,112314,2023-06-19T04:01:02Z,6488,313,w__JeJM212U
335,The Weeknd - Take Me Back (Official Audio),The Weeknd,The Weeknd,672982,2023-06-19T04:00:57Z,31288,1102,cSPE7lNR73o
336,Suzanna Son & The Weeknd - Family (Official Audio),The Weeknd,The Weeknd,671575,2023-06-13T14:03:39Z,27782,896,1ztt-NkU7GE
337,Mike Dean - Devil's Paradise (Official Audio),The Weeknd,The Weeknd,176773,2023-06-13T14:03:35Z,9735,354,ifLpA9izsVI
338,The Weeknd & Mike Dean - The Lure (Main Theme) [Official Audio],The Weeknd,The Weeknd,420627,2023-06-09T15:16:06Z,21086,1082,YhdZFxKtafY
339,Lily-Rose Depp - World Class Sinner / I’m a Freak (Official Audio),The Weeknd,The Weeknd,3481548,2023-06-09T04:02:00Z,125153,3449,CD90Zx1BYiQ
340,World Class Sinner / I’m A Freak (Music from the HBO Original Series The Idol),The Weeknd,The Weeknd,102366,2023-06-24T21:04:09Z,4427,177,-cjPRcShDQo
341,One Of The Girls (Music from the HBO Original Series The Idol),The Weeknd,The Weeknd,370371,2023-06-24T21:02:28Z,27209,430,08axdP_7hr0
342,Take Me Back (Music from the HBO Original Series The Idol),The Weeknd,The Weeknd,48000,2023-06-24T21:00:34Z,4277,91,icbLbaOZsyA
343,A Lesser Man (Music from the HBO Original Series The Idol),The Weeknd,The Weeknd,75187,2023-06-24T20:58:45Z,4486,56,5ImuIp7bYn0
344,Get It B4 (Music from the HBO Original Series The Idol),The Weeknd,The Weeknd,26652,2023-06-24T20:56:28Z,2032,19,BoQzNoSI7tE
345,episode 4 this Sunday…#TheIdol #Tedros ❤️‍🔥,The Weeknd,The Weeknd,45830,2023-06-23T21:44:16Z,3294,96,b-uIEh86fkU
346,fun times ahead #theidol #streamonmax,The Weeknd,The Weeknd,95998,2023-06-08T01:19:16Z,7061,129,bOTkINQJoik
347,POPULAR ft @playboicarti / @madonna OUT NOW! TV SHOW OUT THIS SUNDAY @theidol @hbo @streamonmax,The Weeknd,The Weeknd,138463,2023-06-02T04:39:05Z,15399,187,Suv2_ZJ2J6Q
348,The Idol | Official Trailer | HBO,The Weeknd,The Weeknd,564433,2023-05-30T15:14:50Z,29606,1217,BZTfIl18BEw
349,THE IDOL JUNE 4TH Official Teaser,The Weeknd,The Weeknd,1180675,2023-04-17T16:44:16Z,51943,1884,PIvb1skN5BE
350,The Weeknd: Live at SoFi Stadium - Die For You,The Weeknd,The Weeknd,2515673,2023-02-16T17:00:44Z,97787,2498,wX0anflee0U
351,The Weeknd - Live At Sofi Stadium Trailer (HBO Concert Special),The Weeknd,The Weeknd,307989,2023-02-09T19:55:24Z,18122,859,NUApaq14x64
